Designator,Footprint,Quantity,Value,LCSC Part #
"+BAT1_2, +BAT1",TestPoint_Pad_D1.5mm,2,2.7-4.2V,
"BZ1_2, BZ1",Buzzer_SMD,2,Buzzer,C95299
"C1_2, C1, C11_2, C11, C14_2, C14, C15_2, C15, C16_2, C16, C17_2, C17, C18_2, C18, C19_2, C19, C20_2, C20, C21_2, C21, C22_2, C22, C23_2, C23, C24_2, C24, C25_2, C25, C3_2, C3, C35_2, C35, C36_2, C36, C4_2, C4, C6_2, C6, C7_2, C7",0201,40,100n,C7393837
"C10_2, C10, C2_2, C2, C9_2, C9",0402,6,1u,C52923
"C12_2, C12, C13_2, C13",0402,4,15pF,C1548
"C26_2, C26, C27_2, C27, C31_2, C31, C5_2, C5",0603,8,10u,C19702
"C28_2, C28, C32_2, C32, C33_2, C33, C34_2, C34",0603,8,22u,C59461
"C29_2, C29, C30_2, C30",0603,4,4.7uF,C19666
"C8_2, C8",0402,2,10n,C15195
"D1_2, D1, D10_2, D10, D11_2, D11, D12_2, D12, D2_2, D2, D3_2, D3, D4_2, D4, D5_2, D5, D6_2, D6, D7_2, D7, D8_2, D8, D9_2, D9",LED_SK6812_EC15_1.5x1.5mm,24,SK6805,C2890035
"D13_2, D13, D14_2, D14, D15_2, D15, D16_2, D16, D17_2, D17, D18_2, D18, D19_2, D19, D20_2, D20, D21_2, D21, D22_2, D22, D23_2, D23, D24_2, D24, D25_2, D25, D26_2, D26, D27_2, D27, D28_2, D28, D29_2, D29, D30_2, D30, D31_2, D31, D32_2, D32, D33_2, D33, D34_2, D34, D35_2, D35, D36_2, D36, D37_2, D37, D38_2, D38, D39_2, D39, D40_2, D40",0402,56,LED,C20613596
"D43_2, D43",D_SOD-523,2,D_Schottky,C727120
"FB1_2, FB1",0603,2,FerriteBead,C1002
"J1_2, J1",JST_SUR_SM06B-SURS-TF_1x06-1MP_P0.80mm_Horizontal,2,Conn_01x06_Socket,C495545
"L1_2, L1",1008,2,1uH,C76795
"L2_2, L2",0805,2,0.47uH,C370012
"LI-PO1_2, LI-PO1",Molex_Pico-EZmate_78171-0002_1x02-1MP_P1.20mm_Vertical,2,Conn_01x02_Socket,C505023
"P1_2, P1",USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,2,USB_C_Plug_USB2.0,C2681548
"Q1_2, Q1",SOT-23,2,BC817,C52801
"Q2_2, Q2, Q4_2, Q4",Diodes_UDFN2020-6_Type-F,4,YJQ10N02A,
"Q3_2, Q3",Diodes_UDFN2020-6_Type-F,2,LP2317DT2AG,C383254
"R1_2, R1",0603,2,100k,C25803
"R10_2, R10, R13_2, R13, R14_2, R14, R17_2, R17, R20_2, R20",0402,10,10K,C25744
"R11_2, R11, R4_2, R4, R6_2, R6, R8_2, R8, R9_2, R9",0402,10,510,C25123
"R12_2, R12",0603,2,91k,C2907077
"R15_2, R15, R16_2, R16, R19_2, R19",0402,6,5K1,C25905
"R18_2, R18, R2_2, R2, R22_2, R22, R26_2, R26",0603,8,511k,C2930114
"R23_2, R23, R24_2, R24, R25_2, R25",0402,6,2.2K,C25879
"R3_2, R3, R5_2, R5, R7_2, R7",0805,6,16.5K,C104028
"SW1_2, SW1, SW2_2, SW2, SW3_2, SW3",Panasonic_EVQPUJ_EVQPUA,6,SW_DPST_x2,C128539
"U1_2, U1",XDCR_BH1750FVI-TR,2,BH1750FVI-TR, C78960
"U2_2, U2",SOT-353_SC-70-5,2,74AHCT1G125,C151417
"U3_2, U3",QFN-28_4x4mm_P0.5mm,2,STM32L031G6Ux,C96514
"U4_2, U4",VREG_TPS63802DLAR,2,TPS63802DLAR,C2845237
"U5_2, U5",SOT-23-5,2,MCP73831-3-OT,C625598
"U6_2, U6",CONV_TPS61235PRWLR,2,TPS61235PRWLR,
"U7_2, U7",SOT65P210X110-5N,2,LMS33460MG,
"U8_2, U8",XDCR_BMA400,2,BMA400,
"Y1_2, Y1",Crystal_SMD_SeikoEpson_MC146-4Pin_6.7x1.5mm,2,32.768kHz,C7466130
