Designator,Mid X,Mid Y,Rotation,Layer
BZ1_2,45.24717,-58.0,45.0,bottom
BZ1,45.24717,-19.0,45.0,bottom
C1_2,27.24717,-18.5,315.0,bottom
C1,27.24717,-57.5,315.0,bottom
C10_2,42.89717,-35.1,135.0,bottom
C10,42.89717,-74.1,135.0,bottom
C11_2,35.99717,-73.25,45.0,bottom
C11,35.99717,-34.25,45.0,bottom
C12_2,32.270276,-35.548214,45.0,bottom
C12,32.270276,-74.548214,45.0,bottom
C13_2,34.907759,-32.82518,45.0,bottom
C13,34.907759,-71.82518,45.0,bottom
C14_2,34.99217,-55.0,180.0,top
C14,34.99217,-16.0,180.0,top
C15_2,40.89717,-17.1,180.0,top
C15,40.89717,-56.1,180.0,top
C16_2,46.232028,-59.8,180.0,top
C16,46.232028,-20.8,180.0,top
C17_2,49.023981,-64.0,180.0,top
C17,49.023981,-25.0,180.0,top
C18_2,46.232028,-71.2,180.0,top
C18,46.232028,-32.2,180.0,top
C19_2,40.901342,-74.875644,180.0,top
C19,40.901342,-35.875644,180.0,top
C2_2,37.69717,-31.88,270.0,top
C2,37.69717,-70.88,270.0,top
C20_2,34.99217,-76.0,180.0,top
C20,34.99217,-37.0,180.0,top
C21_2,29.081597,-35.875644,180.0,top
C21,29.081597,-74.875644,180.0,top
C22_2,23.752312,-32.2,180.0,top
C22,23.752312,-71.2,180.0,top
C23_2,20.960359,-67.0,180.0,top
C23,20.960359,-28.0,180.0,top
C24_2,23.752312,-59.8,180.0,top
C24,23.752312,-20.8,180.0,top
C25_2,29.081597,-56.1,180.0,top
C25,29.081597,-17.1,180.0,top
C26_2,24.49717,-22.225,90.0,bottom
C26,24.49717,-61.225,90.0,bottom
C27_2,29.09717,-72.8,90.0,bottom
C27,29.09717,-33.8,90.0,bottom
C28_2,25.79717,-27.3,270.0,bottom
C28,25.79717,-66.3,270.0,bottom
C29_2,33.89717,-56.975,270.0,bottom
C29,33.89717,-17.975,270.0,bottom
C3_2,28.74717,-81.0,135.0,bottom
C3,28.74717,-42.0,135.0,bottom
C30_2,34.693121,-54.499249,0.0,bottom
C30,34.693121,-15.499249,0.0,bottom
C31_2,29.99717,-25.2,270.0,bottom
C31,29.99717,-64.2,270.0,bottom
C32_2,40.596775,-64.39965,270.0,bottom
C32,40.596775,-25.39965,270.0,bottom
C33_2,37.894248,-64.399035,90.0,bottom
C33,37.894248,-25.399035,90.0,bottom
C34_2,36.196659,-64.399035,270.0,bottom
C34,36.196659,-25.399035,270.0,bottom
C35_2,34.791122,-66.893952,45.0,bottom
C35,34.791122,-27.893952,45.0,bottom
C36_2,31.19717,-29.3,45.0,bottom
C36,31.19717,-68.3,45.0,bottom
C4_2,47.69717,-70.5,180.0,bottom
C4,47.69717,-31.5,180.0,bottom
C5_2,33.270276,-77.423214,45.0,bottom
C5,33.270276,-38.423214,45.0,bottom
C6_2,34.470276,-37.448214,45.0,bottom
C6,34.470276,-76.448214,45.0,bottom
C7_2,40.94717,-78.8,225.0,bottom
C7,40.94717,-39.8,225.0,bottom
C8_2,36.49717,-32.9,45.0,bottom
C8,36.49717,-71.9,45.0,bottom
C9_2,38.89717,-70.9,225.0,bottom
C9,38.89717,-31.9,225.0,bottom
D1_2,34.99717,-53.5,90.0,top
D1,34.99717,-14.5,90.0,top
D10_2,21.011384,-65.5,90.0,top
D10,21.011384,-26.5,90.0,top
D11_2,23.79717,-19.3,90.0,top
D11,23.79717,-58.3,90.0,top
D12_2,29.10961,-54.6,90.0,top
D12,29.10961,-15.6,90.0,top
D13_2,26.44717,-62.25,0.0,top
D13,26.44717,-23.25,0.0,top
D14_2,28.24717,-63.985,90.0,top
D14,28.24717,-24.985,90.0,top
D15_2,28.24717,-27.985,90.0,top
D15,28.24717,-66.985,90.0,top
D16_2,26.44717,-68.75,0.0,top
D16,26.44717,-29.75,0.0,top
D17_2,24.74717,-27.985,90.0,top
D17,24.74717,-66.985,90.0,top
D18_2,24.74717,-24.985,90.0,top
D18,24.74717,-63.985,90.0,top
D19_2,26.44717,-26.5,0.0,top
D19,26.44717,-65.5,0.0,top
D2_2,40.88333,-54.6,90.0,top
D2,40.88333,-15.6,90.0,top
D20_2,31.48217,-62.25,0.0,top
D20,31.48217,-23.25,0.0,top
D21_2,33.24717,-63.985,90.0,top
D21,33.24717,-24.985,90.0,top
D22_2,33.24717,-66.985,90.0,top
D22,33.24717,-27.985,90.0,top
D23_2,31.48217,-68.75,0.0,top
D23,31.48217,-29.75,0.0,top
D24_2,29.74717,-27.985,90.0,top
D24,29.74717,-66.985,90.0,top
D25_2,29.74717,-24.98,90.0,top
D25,29.74717,-63.98,90.0,top
D26_2,31.48217,-26.5,0.0,top
D26,31.48217,-65.5,0.0,top
D27_2,38.19717,-23.25,0.0,top
D27,38.19717,-62.25,0.0,top
D28_2,39.99717,-24.985,90.0,top
D28,39.99717,-63.985,90.0,top
D29_2,39.99717,-66.985,90.0,top
D29,39.99717,-27.985,90.0,top
D3_2,46.19717,-58.3,90.0,top
D3,46.19717,-19.3,90.0,top
D30_2,38.19717,-68.75,0.0,top
D30,38.19717,-29.75,0.0,top
D31_2,36.49717,-66.985,90.0,top
D31,36.49717,-27.985,90.0,top
D32_2,36.49717,-63.99,90.0,top
D32,36.49717,-24.99,90.0,top
D33_2,38.19717,-26.5,0.0,top
D33,38.19717,-65.5,0.0,top
D34_2,43.23217,-62.25,0.0,top
D34,43.23217,-23.25,0.0,top
D35_2,44.99717,-63.985,90.0,top
D35,44.99717,-24.985,90.0,top
D36_2,44.99717,-27.985,90.0,top
D36,44.99717,-66.985,90.0,top
D37_2,43.23217,-29.75,0.0,top
D37,43.23217,-68.75,0.0,top
D38_2,41.49717,-66.985,90.0,top
D38,41.49717,-27.985,90.0,top
D39_2,41.49717,-63.9825,90.0,top
D39,41.49717,-24.9825,90.0,top
D4_2,48.982956,-26.5,270.0,top
D4,48.982956,-65.5,270.0,top
D40_2,43.23217,-65.5,0.0,top
D40,43.23217,-26.5,0.0,top
D43_2,46.89717,-26.3,315.0,bottom
D43,46.89717,-65.3,315.0,bottom
D5_2,46.19717,-72.7,270.0,top
D5,46.19717,-33.7,270.0,top
D6_2,40.88333,-76.4,270.0,top
D6,40.88333,-37.4,270.0,top
D7_2,34.99717,-38.5,270.0,top
D7,34.99717,-77.5,270.0,top
D8_2,29.10961,-76.4,270.0,top
D8,29.10961,-37.4,270.0,top
D9_2,23.79717,-33.7,270.0,top
D9,23.79717,-72.7,270.0,top
FB1_2,41.59717,-72.3,225.0,bottom
FB1,41.59717,-33.3,225.0,bottom
J1_2,45.89717,-37.7,315.0,bottom
J1,45.89717,-76.7,315.0,bottom
KIKIT_FID_B_1,6.0,-6.0,0.0,bottom
KIKIT_FID_B_2,64.0,-6.0,0.0,bottom
KIKIT_FID_B_3,6.0,-86.0,0.0,bottom
KIKIT_FID_B_4,64.0,-86.0,0.0,bottom
KIKIT_FID_T_1,6.0,-6.0,0.0,top
KIKIT_FID_T_2,64.0,-6.0,0.0,top
KIKIT_FID_T_3,6.0,-86.0,0.0,top
KIKIT_FID_T_4,64.0,-86.0,0.0,top
L1_2,33.39717,-21.9,180.0,bottom
