Designator,Mid X,Mid Y,Layer,Rotation
+BAT,145.1,-123,bottom,180
3V3,138.75,-94.9,bottom,180
5V1,140.45,-96.9,bottom,180
A1,145.2,-87.3,bottom,180
A2,151.85,-87.35,bottom,180
C1,150.1,-102,bottom,135
C2,148.5,-109.25,bottom,0
C3,146,-107.1,bottom,-45
C4,147,-100.8,bottom,-135
C5,142.38,-103.6,bottom,-135
C6,149.8,-109.8,bottom,-90
C7,148.3,-111.5,bottom,-135
C8,142,-108.6,bottom,135
C9,144.2,-106.2,bottom,135
C10,137.3,-101.88,bottom,-90
C11,141.9,-101.48,bottom,-90
C24,137.1,-107,bottom,0
C25,136.225,-112.45,bottom,180
C26,146.9,-117.6,bottom,-45
C27,153.9,-116.75,bottom,135
C28,142.85,-88.6,bottom,-135
C29,136.155,-114,bottom,-41
C30,163,-107.245,bottom,-90
C31,156.3,-105.1,bottom,0
C34,153.8,-104.2,bottom,-45
C35,154.739411,-103.839411,bottom,135
C36,152,-102.6,bottom,-45
C37,152.7,-102,bottom,135
C38,152.4,-97.2,bottom,45
C39,153.160589,-97.739411,bottom,-135
C40,149.8,-98.5,bottom,-135
C41,150.560589,-99.139411,bottom,45
C42,150.5,-96.7,bottom,135
C43,151.7,-98.3,bottom,-45
C44,150.6,-101.3,bottom,135
C45,151.3,-100.6,bottom,-45
C46,160.660589,-99.160589,bottom,135
C47,161.5,-98.58,bottom,-45
C48,157.9,-108.4,bottom,-90
C49,153.9,-105.5,bottom,0
C50,150.3,-89.9,bottom,90
C51,147.3,-89.9,bottom,90
C52,151.98,-94.2,bottom,0
C53,145.6,-93.1,bottom,0
C54,151.98,-93.1,bottom,180
C55,145.62,-94.2,bottom,180
C56,146.2,-89.9,bottom,90
C57,145.6,-91.5,bottom,0
C58,145.1,-89.9,bottom,90
C59,152.5,-89.92,bottom,-90
C60,151.4,-89.9,bottom,90
C61,152,-91.5,bottom,180
CLK,156.6,-113.5,bottom,180
D13,140.8,-114.9,bottom,-45
D14,162.3,-101.75,bottom,0
DINS,156.5,-120.4,bottom,180
DIO,157.9,-111.9,bottom,180
FB1,143.7,-104.3,bottom,45
GND1,160.45,-93.35,bottom,180
J1,159.85,-116,bottom,-135
J2,131.3525,-105,bottom,90
L1,143.725,-114,bottom,-45
L2,149.9,-93.0625,bottom,90
L3,147.6,-93.0375,bottom,-90
Li-po1,143.6,-119.45,bottom,-135
ME4055A1,139.6,-110.9,bottom,90
NRST,160.3,-111,bottom,180
Q1,151.05,-121,bottom,-135
R1,152.65,-118.85,bottom,135
R2,154.1,-121.3,bottom,-135
R3,150.9,-109.8,bottom,-90
R4,136.6,-105.5,bottom,0
R5,136.6,-104.5,bottom,180
R6,147.9,-120.8,bottom,45
R7,142.2,-111.1,bottom,-90
R8,154,-113.8,bottom,135
R9,151.9,-114.2,bottom,135
R10,141.8,-90.2,bottom,-135
R11,141.05,-89.5,bottom,45
R12,138.4,-115.2,bottom,-41
R13,134.05,-113.9,bottom,45
R14,163,-109.7,bottom,-90
R15,164.9,-109.6,bottom,180
R16,149.7,-117.4,bottom,45
R17,151.5,-117.4,bottom,45
R18,160.25,-103.6,bottom,-135
SW1,136.5,-118,bottom,-41
SW2,166.5,-105,bottom,180
SW3,136.5,-92,bottom,-136
U1,148.5,-105,bottom,45
U2,139.66,-101.48,bottom,0
U3,156.3,-100.2,bottom,45
U4,148.6,-114.9,bottom,-135
Y1,155.2,-107.75,bottom,180
Y2,144.354416,-108.690812,bottom,135
C12,147.75,-88.75,top,0
C13,154.6,-90.7,top,0
C14,159.8,-95.8,top,0
C15,161.5,-102.8,top,0
C16,159.7,-109.8,top,0
C17,154.5,-114.9,top,0
C18,147.5,-116.8,top,0
C19,140.6,-114.9,top,0
C20,135.3,-109.8,top,0
C21,133.6,-102.8,top,0
C22,135.32,-95.8,top,0
C23,140.655,-90.7,top,0
D1,148.5,-91,top,0
D2,155.5,-92.875644,top,0
D3,160.624356,-98,top,0
D4,162.5,-105,top,0
D5,160.624356,-112,top,0
D6,155.5,-117.124356,top,0
D7,148.5,-119,top,0
D8,141.5,-117.124356,top,0
D9,136.375644,-112,top,0
D10,134.5,-105,top,0
D11,136.375644,-98,top,0
D12,141.5,-92.875644,top,0
