Ref,Val,Package,PosX,PosY,Rot,Side
"C12","100n","C_0201_0603Metric",147.750000,-88.750000,0.000000,top
"C13","100n","C_0201_0603Metric",154.600000,-90.700000,0.000000,top
"C14","100n","C_0201_0603Metric",159.800000,-95.800000,0.000000,top
"C15","100n","C_0201_0603Metric",161.500000,-102.800000,0.000000,top
"C16","100n","C_0201_0603Metric",159.700000,-109.800000,0.000000,top
"C17","100n","C_0201_0603Metric",154.500000,-114.900000,0.000000,top
"C18","100n","C_0201_0603Metric",147.500000,-116.800000,0.000000,top
"C19","100n","C_0201_0603Metric",140.600000,-114.900000,0.000000,top
"C20","100n","C_0201_0603Metric",135.300000,-109.800000,0.000000,top
"C21","100n","C_0201_0603Metric",133.600000,-102.800000,0.000000,top
"C22","100n","C_0201_0603Metric",135.320000,-95.800000,0.000000,top
"C23","100n","C_0201_0603Metric",140.655000,-90.700000,0.000000,top
"D1","SK6805","LED_SK6812_EC15_1.5x1.5mm",148.500000,-91.000000,0.000000,top
"D2","SK6805","LED_SK6812_EC15_1.5x1.5mm",155.500000,-92.875644,0.000000,top
"D3","SK6805","LED_SK6812_EC15_1.5x1.5mm",160.624356,-98.000000,0.000000,top
"D4","SK6805","LED_SK6812_EC15_1.5x1.5mm",162.500000,-105.000000,0.000000,top
"D5","SK6805","LED_SK6812_EC15_1.5x1.5mm",160.624356,-112.000000,0.000000,top
"D6","SK6805","LED_SK6812_EC15_1.5x1.5mm",155.500000,-117.124356,0.000000,top
"D7","SK6805","LED_SK6812_EC15_1.5x1.5mm",148.500000,-119.000000,0.000000,top
"D8","SK6805","LED_SK6812_EC15_1.5x1.5mm",141.500000,-117.124356,0.000000,top
"D9","SK6805","LED_SK6812_EC15_1.5x1.5mm",136.375644,-112.000000,0.000000,top
"D10","SK6805","LED_SK6812_EC15_1.5x1.5mm",134.500000,-105.000000,0.000000,top
"D11","SK6805","LED_SK6812_EC15_1.5x1.5mm",136.375644,-98.000000,0.000000,top
"D12","SK6805","LED_SK6812_EC15_1.5x1.5mm",141.500000,-92.875644,0.000000,top
