Designator,Mid X,Mid Y,Rotation,Layer
BZ1,158.4,-98.3,45.0,bottom
C1,137.4,-98.0,45.0,bottom
C10,156.4,-113.6,135.0,bottom
C11,149.373106,-112.448214,45.0,bottom
C12,145.773106,-114.048214,45.0,bottom
C13,147.912517,-110.787625,45.0,bottom
C14,148.495,-94.5,180.0,top
C15,154.4,-95.6,180.0,top
C16,159.734858,-99.3,180.0,top
C17,162.526811,-103.5,180.0,top
C18,159.734858,-110.7,180.0,top
C19,154.404172,-114.375644,180.0,top
C2,151.2,-110.38,270.0,top
C20,148.495,-115.5,180.0,top
C21,142.584427,-114.375644,180.0,top
C22,137.255142,-110.7,180.0,top
C23,134.463189,-106.5,180.0,top
C24,137.255142,-99.3,180.0,top
C25,142.584427,-95.6,180.0,top
C26,138.6,-108.025,270.0,bottom
C27,144.8,-100.57,90.0,bottom
C28,140.2875,-100.37,270.0,bottom
C29,144.1,-104.5,270.0,bottom
C3,143.4,-118.0,315.0,bottom
C30,152.3,-102.1,90.0,bottom
C31,143.4,-97.8,180.0,bottom
C32,142.8,-91.0,270.0,bottom
C4,161.2,-110.0,180.0,bottom
C5,146.773106,-116.923214,45.0,bottom
C6,147.973106,-115.948214,45.0,bottom
C7,154.45,-118.3,225.0,bottom
C8,150.0,-111.3,45.0,bottom
C9,151.2,-110.2,225.0,bottom
D1,148.5,-93.0,90.0,top
D10,134.514214,-105.0,90.0,top
D11,137.3,-97.8,90.0,top
D12,142.61244,-94.1,90.0,top
D13,139.95,-101.75,0.0,top
D14,141.75,-103.485,90.0,top
D15,141.75,-106.485,90.0,top
D16,139.95,-108.25,0.0,top
D17,138.25,-106.485,90.0,top
D18,138.25,-103.485,90.0,top
D19,139.95,-105.0,0.0,top
D2,154.38616,-94.1,90.0,top
D20,144.985,-101.75,0.0,top
D21,146.75,-103.485,90.0,top
D22,146.75,-106.485,90.0,top
D23,144.985,-108.25,0.0,top
D24,143.25,-106.485,90.0,top
D25,143.25,-103.48,90.0,top
D26,144.985,-105.0,0.0,top
D27,151.7,-101.75,0.0,top
D28,153.5,-103.485,90.0,top
D29,153.5,-106.485,90.0,top
D3,159.7,-97.8,90.0,top
D30,151.7,-108.25,0.0,top
D31,150.0,-106.485,90.0,top
D32,150.0,-103.49,90.0,top
D33,151.7,-105.0,0.0,top
D34,156.735,-101.75,0.0,top
D35,158.5,-103.485,90.0,top
D36,158.5,-106.485,90.0,top
D37,156.735,-108.25,0.0,top
D38,155.0,-106.485,90.0,top
D39,155.0,-103.4825,90.0,top
D4,162.485786,-105.0,270.0,top
D40,156.735,-105.0,0.0,top
D43,160.4,-104.8,315.0,bottom
D45,149.599293,-94.500708,270.0,bottom
D5,159.7,-112.2,270.0,top
D6,154.38616,-115.9,270.0,top
D7,148.5,-117.0,270.0,top
D8,142.61244,-115.9,270.0,top
D9,137.3,-112.2,270.0,top
FB1,154.873106,-112.048214,225.0,bottom
J1,159.4,-116.2,315.0,bottom
J2,132.75,-105.0,90.0,bottom
L1,153.2,-90.7,270.0,bottom
LI-PO1,147.0,-90.4,270.0,bottom
Q1,155.9,-105.3,315.0,bottom
Q2,142.110193,-111.785301,45.0,bottom
R10,148.373106,-118.648214,135.0,bottom
R11,152.3,-120.9,135.0,bottom
R13,152.3,-95.6,135.0,bottom
R14,153.9,-94.0,135.0,bottom
R15,138.49,-105.8,180.0,bottom
R16,138.49,-104.6,0.0,bottom
R17,140.773106,-114.448214,135.0,bottom
R18,143.70971,-95.131999,270.0,bottom
R19,149.5,-105.8,0.0,bottom
R20,139.973106,-110.248214,135.0,bottom
R21,146.75,-102.45,270.0,bottom
R22,146.2,-98.3,180.0,bottom
R23,145.7,-110.4,90.0,top
R3,139.2,-96.4,135.0,bottom
R4,134.4,-96.8,225.0,bottom
R5,142.8,-116.4,135.0,bottom
R6,141.6,-119.6,135.0,bottom
R7,161.3,-107.7375,90.0,bottom
R8,154.5,-107.8,225.0,bottom
R9,163.35,-109.8,0.0,bottom
SW1,137.4,-117.0,221.0,bottom
SW2,164.7,-105.0,90.0,bottom
SW3,137.4,-93.2,316.0,bottom
U1,148.5,-110.3,0.0,top
U2,150.173106,-120.048214,135.0,bottom
U3,152.073106,-115.448214,315.0,bottom
U4,142.4875,-100.25,180.0,bottom
U5,149.55,-102.7375,90.0,bottom
U6,146.8,-95.3,270.0,bottom
Y1,146.027522,-111.539026,45.0,bottom
